tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-02-13,55.0,6.0,39.0,14.0,14.0,55.0,PM10,2,DKI1
2010-02-14,55.0,6.0,61.0,16.0,13.0,61.0,CO,2,DKI1
2010-02-15,40.0,4.0,30.0,63.0,22.0,63.0,O3,2,DKI1
2010-02-16,56.0,4.0,43.0,25.0,20.0,56.0,PM10,2,DKI1
2010-02-17,52.0,4.0,34.0,30.0,17.0,52.0,PM10,2,DKI1
2010-02-18,41.0,5.0,26.0,14.0,10.0,41.0,PM10,1,DKI1
2010-02-19,37.0,4.0,43.0,17.0,17.0,43.0,CO,1,DKI1
2010-02-20,52.0,3.0,64.0,18.0,12.0,64.0,CO,2,DKI1
2010-02-21,61.0,4.0,53.0,36.0,15.0,61.0,PM10,2,DKI1
2010-02-22,34.0,4.0,31.0,23.0,16.0,34.0,PM10,1,DKI1
2010-02-23,57.0,7.0,35.0,42.0,18.0,57.0,PM10,2,DKI1
2010-02-24,59.0,4.0,44.0,93.0,24.0,93.0,O3,2,DKI1
2010-02-25,65.0,6.0,55.0,26.0,26.0,65.0,PM10,2,DKI1
2010-02-26,68.0,9.0,67.0,67.0,22.0,68.0,PM10,2,DKI1
2010-02-27,67.0,8.0,47.0,47.0,19.0,67.0,PM10,2,DKI1
2010-02-28,65.0,6.0,38.0,80.0,23.0,80.0,O3,2,DKI1
2010-03-01,60.0,5.0,39.0,44.0,19.0,60.0,PM10,2,DKI1
2010-03-02,74.0,8.0,56.0,68.0,27.0,74.0,PM10,2,DKI1
2010-03-03,54.0,12.0,35.0,77.0,25.0,77.0,O3,2,DKI1
2010-03-04,59.0,9.0,32.0,62.0,20.0,62.0,O3,2,DKI1
2010-03-05,62.0,11.0,35.0,31.0,19.0,62.0,PM10,2,DKI1
2010-03-06,72.0,10.0,54.0,43.0,23.0,72.0,PM10,2,DKI1
2010-03-07,59.0,7.0,46.0,57.0,19.0,59.0,PM10,2,DKI1
2010-03-08,56.0,7.0,37.0,39.0,18.0,56.0,PM10,2,DKI1
2010-03-09,45.0,5.0,33.0,27.0,15.0,45.0,PM10,1,DKI1
2010-03-10,44.0,8.0,37.0,41.0,19.0,44.0,PM10,1,DKI1
2010-03-11,51.0,6.0,37.0,18.0,14.0,51.0,PM10,2,DKI1
2010-03-12,43.0,6.0,42.0,39.0,20.0,43.0,PM10,1,DKI1
2010-03-13,74.0,9.0,46.0,64.0,16.0,74.0,PM10,2,DKI1
2010-03-14,61.0,9.0,27.0,27.0,13.0,61.0,PM10,2,DKI1
2010-03-15,52.0,8.0,28.0,30.0,15.0,52.0,PM10,2,DKI1
2010-03-16,40.0,5.0,25.0,45.0,13.0,45.0,O3,1,DKI1
2010-03-17,50.0,8.0,30.0,25.0,15.0,50.0,PM10,1,DKI1
2010-03-18,58.0,10.0,33.0,23.0,15.0,58.0,PM10,2,DKI1
2010-03-19,63.0,10.0,44.0,36.0,18.0,63.0,PM10,2,DKI1
2010-03-20,54.0,11.0,29.0,66.0,19.0,66.0,O3,2,DKI1
2010-03-21,52.0,7.0,33.0,31.0,16.0,52.0,PM10,2,DKI1
2010-03-22,37.0,5.0,22.0,15.0,10.0,37.0,PM10,1,DKI1
2010-03-23,52.0,9.0,44.0,42.0,29.0,52.0,PM10,2,DKI1
2010-03-24,0.0,7.0,41.0,99.0,29.0,99.0,O3,2,DKI1
2010-03-25,55.0,9.0,33.0,46.0,20.0,55.0,PM10,2,DKI1
2010-03-26,48.0,4.0,45.0,57.0,29.0,57.0,O3,2,DKI1
2010-03-27,61.0,18.0,41.0,59.0,16.0,61.0,PM10,2,DKI1
2010-03-28,56.0,4.0,44.0,45.0,13.0,56.0,PM10,2,DKI1
2010-03-29,50.0,2.0,34.0,27.0,25.0,50.0,PM10,1,DKI1
2010-03-30,44.0,6.0,33.0,0.0,12.0,44.0,PM10,1,DKI1
2010-03-31,58.0,5.0,57.0,0.0,14.0,58.0,PM10,2,DKI1
2010-04-01,59.0,5.0,46.0,0.0,21.0,59.0,PM10,2,DKI1
2010-04-02,57.0,4.0,31.0,88.0,18.0,88.0,O3,2,DKI1
2010-04-03,37.0,4.0,18.0,0.0,10.0,37.0,PM10,1,DKI1
2010-04-04,39.0,0.0,29.0,0.0,10.0,39.0,PM10,1,DKI1
2010-04-05,63.0,7.0,50.0,0.0,22.0,63.0,PM10,2,DKI1
2010-04-06,70.0,9.0,52.0,0.0,27.0,70.0,PM10,2,DKI1
2010-04-07,70.0,14.0,42.0,62.0,25.0,70.0,PM10,2,DKI1
2010-04-08,65.0,15.0,54.0,102.0,27.0,102.0,O3,3,DKI1
2010-04-09,59.0,12.0,46.0,27.0,15.0,59.0,PM10,2,DKI1
2010-04-10,40.0,10.0,33.0,33.0,12.0,40.0,PM10,1,DKI1
2010-04-11,45.0,10.0,31.0,21.0,11.0,45.0,PM10,1,DKI1
2010-04-12,66.0,19.0,39.0,80.0,25.0,80.0,O3,2,DKI1
2010-04-13,57.0,17.0,34.0,80.0,24.0,80.0,O3,2,DKI1
2010-04-14,70.0,16.0,40.0,59.0,21.0,70.0,PM10,2,DKI1
2010-04-15,70.0,13.0,57.0,41.0,19.0,70.0,PM10,2,DKI1
2010-04-16,38.0,11.0,30.0,42.0,13.0,42.0,O3,1,DKI1
2010-04-17,38.0,10.0,26.0,28.0,12.0,38.0,PM10,1,DKI1
2010-04-18,36.0,9.0,22.0,27.0,10.0,36.0,PM10,1,DKI1
2010-04-19,36.0,0.0,24.0,20.0,10.0,36.0,PM10,1,DKI1
2010-04-20,39.0,0.0,27.0,24.0,12.0,39.0,PM10,1,DKI1
2010-04-21,41.0,0.0,23.0,30.0,12.0,41.0,PM10,1,DKI1
2010-04-22,37.0,0.0,34.0,25.0,14.0,37.0,PM10,1,DKI1
2010-04-23,29.0,0.0,22.0,23.0,12.0,29.0,PM10,1,DKI1
2010-04-24,31.0,0.0,28.0,36.0,12.0,36.0,O3,1,DKI1
2010-04-25,50.0,0.0,26.0,55.0,29.0,55.0,O3,2,DKI1
2010-04-26,58.0,0.0,31.0,67.0,29.0,67.0,O3,2,DKI1
2010-04-27,67.0,0.0,30.0,52.0,18.0,67.0,PM10,2,DKI1
2010-04-28,56.0,0.0,26.0,30.0,15.0,56.0,PM10,2,DKI1
2010-04-29,61.0,0.0,34.0,61.0,26.0,61.0,PM10,2,DKI1
2010-04-30,76.0,0.0,42.0,42.0,24.0,76.0,PM10,2,DKI1
2010-05-01,60.0,0.0,24.0,28.0,10.0,60.0,PM10,2,DKI1
2010-05-02,58.0,16.0,19.0,31.0,13.0,58.0,PM10,2,DKI1
2010-05-03,60.0,16.0,29.0,73.0,18.0,73.0,O3,2,DKI1
2010-05-04,53.0,13.0,27.0,31.0,16.0,53.0,PM10,2,DKI1
2010-05-05,53.0,16.0,26.0,35.0,15.0,53.0,PM10,2,DKI1
2010-05-06,53.0,19.0,25.0,21.0,11.0,53.0,PM10,2,DKI1
2010-05-07,67.0,19.0,33.0,33.0,16.0,67.0,PM10,2,DKI1
2010-05-08,57.0,16.0,24.0,26.0,9.0,57.0,PM10,2,DKI1
2010-05-09,0.0,16.0,28.0,51.0,16.0,51.0,O3,2,DKI1
2010-05-10,0.0,14.0,43.0,75.0,26.0,75.0,O3,2,DKI1
2010-05-11,0.0,14.0,42.0,60.0,24.0,60.0,O3,2,DKI1
2010-05-12,61.0,12.0,50.0,32.0,19.0,61.0,PM10,2,DKI1
2010-05-13,52.0,15.0,40.0,65.0,21.0,65.0,O3,2,DKI1
2010-05-14,59.0,12.0,46.0,69.0,26.0,69.0,O3,2,DKI1
2010-05-15,52.0,14.0,45.0,92.0,26.0,92.0,O3,2,DKI1
2010-05-16,56.0,12.0,29.0,65.0,15.0,65.0,O3,2,DKI1
2010-05-17,55.0,15.0,55.0,32.0,16.0,55.0,PM10,2,DKI1
2010-05-18,57.0,17.0,45.0,50.0,25.0,57.0,PM10,2,DKI1
2010-05-19,69.0,14.0,39.0,79.0,18.0,79.0,O3,2,DKI1
2010-05-20,58.0,14.0,38.0,57.0,21.0,58.0,PM10,2,DKI1
2010-05-21,53.0,14.0,37.0,60.0,18.0,60.0,O3,2,DKI1
2010-05-22,63.0,16.0,50.0,54.0,21.0,63.0,PM10,2,DKI1
2010-05-23,57.0,14.0,28.0,50.0,23.0,57.0,PM10,2,DKI1
2010-05-24,54.0,15.0,37.0,42.0,21.0,54.0,PM10,2,DKI1
2010-05-25,56.0,18.0,34.0,43.0,18.0,56.0,PM10,2,DKI1
2010-05-26,55.0,15.0,41.0,123.0,34.0,123.0,O3,3,DKI1
2010-05-27,58.0,17.0,50.0,113.0,29.0,113.0,O3,3,DKI1
2010-05-28,68.0,21.0,49.0,24.0,25.0,68.0,PM10,2,DKI1
2010-05-29,54.0,16.0,30.0,28.0,14.0,54.0,PM10,2,DKI1
2010-05-30,59.0,14.0,41.0,64.0,16.0,64.0,O3,2,DKI1
2010-05-31,56.0,16.0,33.0,25.0,15.0,56.0,PM10,2,DKI1
2010-06-01,55.0,20.0,35.0,31.0,20.0,55.0,PM10,2,DKI1
2010-06-02,58.0,14.0,42.0,93.0,26.0,93.0,O3,2,DKI1
2010-06-03,72.0,19.0,38.0,55.0,22.0,72.0,PM10,2,DKI1
2010-06-04,59.0,18.0,36.0,30.0,19.0,59.0,PM10,2,DKI1
2010-06-05,57.0,15.0,39.0,87.0,21.0,87.0,O3,2,DKI1
2010-06-06,59.0,18.0,47.0,42.0,25.0,59.0,PM10,2,DKI1
2010-06-07,70.0,16.0,39.0,52.0,21.0,70.0,PM10,2,DKI1
2010-06-08,77.0,19.0,95.0,18.0,30.0,95.0,CO,2,DKI1
2010-06-09,54.0,20.0,36.0,45.0,25.0,54.0,PM10,2,DKI1
2010-06-10,79.0,23.0,46.0,34.0,24.0,79.0,PM10,2,DKI1
2010-06-11,60.0,21.0,33.0,27.0,14.0,60.0,PM10,2,DKI1
2010-06-12,64.0,20.0,39.0,23.0,13.0,64.0,PM10,2,DKI1
2010-06-13,59.0,15.0,64.0,29.0,15.0,64.0,CO,2,DKI1
2010-06-14,55.0,22.0,31.0,29.0,14.0,55.0,PM10,2,DKI1
2010-06-15,57.0,20.0,34.0,31.0,20.0,57.0,PM10,2,DKI1
2010-06-16,55.0,17.0,71.0,27.0,38.0,71.0,CO,2,DKI1
2010-06-17,75.0,21.0,71.0,30.0,29.0,75.0,PM10,2,DKI1
2010-06-18,74.0,21.0,50.0,74.0,29.0,74.0,PM10,2,DKI1
2010-06-19,59.0,14.0,37.0,71.0,26.0,71.0,O3,2,DKI1
2010-06-20,49.0,15.0,23.0,28.0,9.0,49.0,PM10,1,DKI1
2010-06-21,51.0,18.0,31.0,28.0,13.0,51.0,PM10,2,DKI1
2010-06-22,58.0,17.0,36.0,41.0,21.0,58.0,PM10,2,DKI1
2010-06-23,64.0,17.0,32.0,41.0,23.0,64.0,PM10,2,DKI1
2010-06-24,64.0,17.0,30.0,41.0,23.0,30.0,CO,1,DKI1
2010-06-25,64.0,17.0,30.0,41.0,23.0,30.0,CO,1,DKI2
2010-06-26,56.0,19.0,30.0,44.0,22.0,56.0,PM10,2,DKI1
2010-06-27,69.0,18.0,46.0,55.0,25.0,69.0,PM10,2,DKI1
2010-06-28,60.0,15.0,40.0,36.0,19.0,60.0,PM10,2,DKI1
2010-06-29,65.0,17.0,34.0,33.0,14.0,65.0,PM10,2,DKI1
2010-06-30,50.0,17.0,29.0,22.0,12.0,50.0,PM10,1,DKI1
2010-07-01,55.0,21.0,25.0,27.0,12.0,55.0,PM10,2,DKI1
2010-07-02,62.0,22.0,37.0,66.0,19.0,66.0,O3,2,DKI1
2010-07-03,64.0,15.0,34.0,76.0,20.0,76.0,O3,2,DKI1
2010-07-04,56.0,13.0,46.0,51.0,23.0,56.0,PM10,2,DKI1
2010-07-05,54.0,21.0,30.0,36.0,14.0,54.0,PM10,2,DKI1
2010-07-06,55.0,20.0,34.0,35.0,19.0,55.0,PM10,2,DKI1
2010-07-07,63.0,19.0,37.0,37.0,20.0,63.0,PM10,2,DKI1
2010-07-08,74.0,18.0,71.0,43.0,22.0,74.0,PM10,2,DKI1
2010-07-09,51.0,16.0,34.0,39.0,20.0,51.0,PM10,2,DKI1
2010-07-10,55.0,16.0,44.0,34.0,20.0,55.0,PM10,2,DKI1
2010-07-11,58.0,17.0,43.0,33.0,18.0,58.0,PM10,2,DKI1
2010-07-12,61.0,16.0,43.0,64.0,29.0,64.0,O3,2,DKI1
2010-07-13,66.0,15.0,36.0,33.0,21.0,66.0,PM10,2,DKI1
2010-07-14,61.0,18.0,37.0,30.0,21.0,61.0,PM10,2,DKI1
2010-07-15,63.0,17.0,31.0,31.0,15.0,63.0,PM10,2,DKI1
2010-07-16,63.0,17.0,39.0,31.0,21.0,63.0,PM10,2,DKI1
2010-07-17,81.0,20.0,41.0,43.0,23.0,81.0,PM10,2,DKI1
2010-07-18,61.0,16.0,33.0,45.0,23.0,61.0,PM10,2,DKI1
2010-07-19,53.0,14.0,35.0,37.0,21.0,53.0,PM10,2,DKI1
2010-07-20,52.0,17.0,40.0,54.0,27.0,54.0,O3,2,DKI1
2010-07-21,60.0,17.0,41.0,39.0,22.0,60.0,PM10,2,DKI1
2010-07-22,62.0,18.0,39.0,60.0,22.0,62.0,PM10,2,DKI1
2010-07-23,65.0,25.0,36.0,46.0,20.0,65.0,PM10,2,DKI1
2010-07-24,55.0,17.0,30.0,45.0,17.0,55.0,PM10,2,DKI1
2010-07-25,60.0,16.0,27.0,65.0,17.0,65.0,O3,2,DKI1
2010-07-26,62.0,17.0,31.0,40.0,16.0,62.0,PM10,2,DKI1
2010-07-27,49.0,13.0,31.0,29.0,11.0,49.0,PM10,1,DKI1
2010-07-28,57.0,22.0,44.0,59.0,24.0,59.0,O3,2,DKI1
2010-07-29,63.0,14.0,40.0,38.0,20.0,63.0,PM10,2,DKI1
2010-07-30,48.0,15.0,31.0,22.0,10.0,48.0,PM10,1,DKI1
2010-07-31,50.0,16.0,21.0,25.0,10.0,50.0,PM10,1,DKI1
2010-08-01,48.0,12.0,19.0,47.0,25.0,48.0,PM10,1,DKI1
2010-08-02,57.0,15.0,36.0,57.0,29.0,57.0,PM10,2,DKI1
2010-08-03,61.0,13.0,31.0,48.0,17.0,61.0,PM10,2,DKI1
2010-08-04,61.0,13.0,31.0,48.0,17.0,61.0,PM11,2,DKI2
2010-08-05,76.0,16.0,0.0,56.0,26.0,76.0,PM10,2,DKI1
2010-08-06,60.0,17.0,38.0,59.0,17.0,60.0,PM10,2,DKI1
2010-08-07,61.0,13.0,40.0,80.0,32.0,80.0,O3,2,DKI1
2010-08-08,60.0,12.0,42.0,73.0,19.0,73.0,O3,2,DKI1
2010-08-09,61.0,16.0,40.0,77.0,26.0,77.0,O3,2,DKI1
2010-08-10,63.0,14.0,36.0,35.0,20.0,63.0,PM10,2,DKI1
2010-08-11,0.0,15.0,23.0,34.0,10.0,34.0,O3,1,DKI1
2010-08-12,0.0,14.0,20.0,27.0,7.0,27.0,O3,1,DKI1
2010-08-13,54.0,16.0,20.0,31.0,9.0,54.0,PM10,2,DKI1
2010-08-14,43.0,16.0,33.0,28.0,6.0,43.0,PM10,1,DKI1
2010-08-15,53.0,15.0,27.0,44.0,11.0,53.0,PM10,2,DKI1
2010-08-16,60.0,17.0,34.0,37.0,25.0,60.0,PM10,2,DKI1
2010-08-17,54.0,14.0,43.0,46.0,15.0,54.0,PM10,2,DKI1
2010-08-18,60.0,15.0,45.0,74.0,29.0,74.0,O3,2,DKI1
2010-08-19,39.0,12.0,40.0,34.0,26.0,40.0,CO,1,DKI1
2010-08-20,44.0,17.0,36.0,29.0,14.0,44.0,PM10,1,DKI1
2010-08-21,52.0,14.0,45.0,30.0,15.0,52.0,PM10,2,DKI1
2010-08-22,48.0,18.0,28.0,71.0,21.0,71.0,O3,2,DKI1
2010-08-23,65.0,17.0,34.0,48.0,16.0,65.0,PM10,2,DKI1
2010-08-24,51.0,18.0,23.0,43.0,12.0,51.0,PM10,2,DKI1
2010-08-25,68.0,18.0,80.0,45.0,17.0,80.0,CO,2,DKI1
2010-08-26,45.0,15.0,25.0,33.0,17.0,45.0,PM10,1,DKI1
2010-08-27,49.0,19.0,33.0,36.0,15.0,49.0,PM10,1,DKI1
2010-08-28,48.0,17.0,45.0,67.0,20.0,67.0,O3,2,DKI1
2010-08-29,59.0,23.0,39.0,70.0,20.0,70.0,O3,2,DKI1
2010-08-30,57.0,17.0,22.0,35.0,15.0,57.0,PM10,2,DKI1
2010-08-31,52.0,16.0,27.0,35.0,14.0,52.0,PM10,2,DKI1
2010-09-01,53.0,16.0,28.0,43.0,16.0,53.0,PM10,2,DKI1
2010-09-02,56.0,17.0,35.0,44.0,23.0,56.0,PM10,2,DKI1
2010-09-03,53.0,16.0,39.0,52.0,22.0,53.0,PM10,2,DKI1
2010-09-04,47.0,19.0,32.0,44.0,21.0,47.0,PM10,1,DKI1
2010-09-05,48.0,17.0,26.0,54.0,17.0,54.0,O3,2,DKI1
2010-09-06,51.0,15.0,35.0,26.0,19.0,51.0,PM10,2,DKI1
2010-09-07,56.0,19.0,45.0,30.0,19.0,56.0,PM10,2,DKI1
2010-09-08,50.0,16.0,43.0,65.0,21.0,65.0,O3,2,DKI1
2010-09-09,38.0,11.0,32.0,29.0,11.0,38.0,PM10,1,DKI1
2010-09-10,51.0,11.0,45.0,39.0,14.0,51.0,PM10,2,DKI1
2010-09-11,37.0,13.0,25.0,55.0,12.0,55.0,O3,2,DKI1
2010-09-12,25.0,11.0,18.0,50.0,17.0,50.0,O3,1,DKI1
2010-09-13,24.0,10.0,18.0,51.0,13.0,51.0,O3,2,DKI1
2010-09-14,28.0,12.0,26.0,42.0,11.0,42.0,O3,1,DKI1
2010-09-15,36.0,13.0,34.0,42.0,22.0,42.0,O3,1,DKI1
2010-09-16,36.0,12.0,28.0,21.0,14.0,36.0,PM10,1,DKI1
2010-09-17,31.0,14.0,26.0,49.0,16.0,49.0,O3,1,DKI1
2010-09-18,51.0,16.0,32.0,50.0,15.0,51.0,PM10,2,DKI1
2010-09-19,49.0,14.0,25.0,34.0,11.0,49.0,PM10,1,DKI1
2010-09-20,37.0,14.0,30.0,39.0,15.0,39.0,O3,1,DKI1
2010-09-21,41.0,14.0,30.0,30.0,18.0,41.0,PM10,1,DKI1
2010-09-22,55.0,15.0,64.0,45.0,22.0,64.0,CO,2,DKI1
2010-09-23,57.0,20.0,53.0,57.0,25.0,57.0,PM10,2,DKI1
2010-09-24,55.0,19.0,49.0,58.0,22.0,58.0,O3,2,DKI1
2010-09-25,57.0,21.0,49.0,32.0,22.0,57.0,PM10,2,DKI1
2010-09-26,32.0,15.0,20.0,46.0,11.0,46.0,O3,1,DKI1
2010-09-27,50.0,18.0,36.0,51.0,22.0,51.0,O3,2,DKI1
2010-09-28,37.0,16.0,31.0,71.0,21.0,71.0,O3,2,DKI1
2010-09-29,62.0,21.0,35.0,78.0,28.0,78.0,O3,2,DKI1
2010-09-30,65.0,19.0,36.0,62.0,23.0,65.0,PM10,2,DKI1
2010-10-01,54.0,17.0,32.0,100.0,23.0,100.0,O3,2,DKI1
2010-10-02,56.0,18.0,41.0,67.0,20.0,67.0,O3,2,DKI1
2010-10-03,60.0,16.0,62.0,43.0,19.0,62.0,CO,2,DKI1
2010-10-04,39.0,15.0,44.0,51.0,27.0,51.0,O3,2,DKI1
2010-10-05,54.0,22.0,39.0,63.0,23.0,63.0,O3,2,DKI1
2010-10-06,69.0,27.0,41.0,71.0,24.0,71.0,O3,2,DKI1
2010-10-07,50.0,17.0,42.0,80.0,30.0,80.0,O3,2,DKI1
2010-10-08,62.0,21.0,36.0,59.0,24.0,62.0,PM10,2,DKI1
2010-10-09,53.0,16.0,44.0,62.0,21.0,62.0,O3,2,DKI1
2010-10-10,41.0,19.0,23.0,55.0,14.0,55.0,O3,2,DKI1
2010-10-11,46.0,21.0,28.0,111.0,24.0,111.0,O3,3,DKI1
2010-10-12,59.0,25.0,31.0,95.0,26.0,95.0,O3,2,DKI1
2010-10-13,52.0,17.0,28.0,56.0,19.0,56.0,O3,2,DKI1
2010-10-14,51.0,21.0,32.0,60.0,24.0,60.0,O3,2,DKI1
2010-10-15,49.0,15.0,46.0,43.0,23.0,49.0,PM10,1,DKI1
2010-10-16,48.0,18.0,31.0,40.0,17.0,48.0,PM10,1,DKI1
2010-10-17,48.0,17.0,25.0,46.0,15.0,48.0,PM10,1,DKI1
2010-10-18,54.0,16.0,38.0,64.0,18.0,64.0,O3,2,DKI1
2010-10-19,47.0,17.0,31.0,69.0,22.0,69.0,O3,2,DKI1
2010-10-20,47.0,15.0,35.0,70.0,20.0,70.0,O3,2,DKI1
2010-10-21,41.0,17.0,33.0,90.0,21.0,90.0,O3,2,DKI1
2010-10-22,48.0,17.0,31.0,75.0,23.0,75.0,O3,2,DKI1
2010-10-23,56.0,15.0,59.0,66.0,23.0,66.0,O3,2,DKI1
2010-10-24,52.0,15.0,35.0,37.0,17.0,52.0,PM10,2,DKI1
2010-10-25,43.0,18.0,38.0,58.0,23.0,58.0,O3,2,DKI1
2010-10-26,37.0,15.0,48.0,32.0,18.0,48.0,CO,1,DKI1
2010-10-27,43.0,17.0,34.0,70.0,21.0,70.0,O3,2,DKI1
2010-10-28,40.0,16.0,32.0,69.0,22.0,69.0,O3,2,DKI1
2010-10-29,49.0,18.0,32.0,57.0,21.0,57.0,O3,2,DKI1
2010-10-30,57.0,19.0,37.0,55.0,19.0,57.0,PM10,2,DKI1
2010-10-31,39.0,12.0,30.0,36.0,14.0,39.0,PM10,1,DKI1
2010-11-01,39.0,12.0,30.0,36.0,14.0,39.0,PM11,1,DKI2
2010-11-02,33.0,14.0,18.0,25.0,8.0,33.0,PM10,1,DKI1
2010-11-03,56.0,18.0,32.0,48.0,18.0,56.0,PM10,2,DKI1
2010-11-04,54.0,17.0,47.0,45.0,12.0,54.0,PM10,2,DKI1
2010-11-05,31.0,13.0,27.0,54.0,11.0,54.0,O3,2,DKI2
2010-11-06,49.0,14.0,30.0,36.0,16.0,49.0,PM10,1,DKI1
2010-11-07,69.0,13.0,23.0,80.0,14.0,80.0,O3,2,DKI3
2010-11-08,32.0,13.0,19.0,56.0,8.0,56.0,O3,2,DKI3
2010-11-09,50.0,15.0,28.0,78.0,14.0,78.0,O3,2,DKI2
2010-11-10,56.0,20.0,39.0,215.0,26.0,215.0,O3,4,DKI3
2010-11-11,56.0,20.0,30.0,126.0,20.0,126.0,O3,3,DKI3
2010-11-12,44.0,18.0,23.0,81.0,9.0,81.0,O3,2,DKI3
2010-11-13,43.0,16.0,28.0,123.0,18.0,123.0,O3,3,DKI2
2010-11-14,54.0,15.0,40.0,67.0,23.0,67.0,O3,2,DKI3
2010-11-15,51.0,19.0,30.0,130.0,17.0,130.0,O3,3,DKI3
2010-11-16,64.0,19.0,34.0,137.0,24.0,137.0,O3,3,DKI3
2010-11-17,61.0,17.0,55.0,136.0,17.0,136.0,O3,3,DKI3
2010-11-18,61.0,16.0,36.0,206.0,38.0,206.0,O3,4,DKI3
2010-11-19,68.0,20.0,49.0,148.0,28.0,148.0,O3,3,DKI4
2010-11-20,67.0,19.0,35.0,195.0,24.0,195.0,O3,3,DKI3
2010-11-21,68.0,18.0,36.0,154.0,22.0,154.0,O3,3,DKI3
2010-11-22,57.0,19.0,38.0,238.0,30.0,238.0,O3,4,DKI3
2010-11-23,69.0,18.0,39.0,112.0,24.0,112.0,O3,3,DKI3
2010-11-24,72.0,26.0,39.0,146.0,23.0,146.0,O3,3,DKI3
2010-11-25,52.0,17.0,28.0,190.0,19.0,190.0,O3,3,DKI3
2010-11-26,70.0,21.0,35.0,172.0,26.0,172.0,O3,3,DKI3
2010-11-27,62.0,17.0,49.0,189.0,23.0,189.0,O3,3,DKI3
2010-11-28,60.0,17.0,43.0,92.0,23.0,92.0,O3,2,DKI2
2010-11-29,67.0,19.0,37.0,93.0,26.0,93.0,O3,2,DKI1
2010-11-30,66.0,16.0,32.0,74.0,19.0,74.0,O3,2,DKI4
